"Daily Weather Observations for Orange Agricultural Institute, New South Wales for August 2018"
"Prepared at 13:00 UTC on Saturday 19 January 2019   IDCJDW2178.201808"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Orange Agricultural Institute {station 063254}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-08-1,4.5,11.5,0,3.0,,,,,8.4,64,1,W,41,,,,,,,
,2018-08-2,-0.9,13.8,0.2,3.0,,,,,6.7,72,1,N,6,,,,,,,
,2018-08-3,3.8,,0,2.4,,,,,10.2,64,1,NNE,46,,,,,,,
,2018-08-4,,,,,,,,,,,,,,,,,,,,
,2018-08-5,,16.0,,,,,,,,,,,,,,,,,,
,2018-08-6,0.8,9.1,26.0,8.0,,,,,5.8,93,8,NNW,19,,,,,,,
,2018-08-7,0.9,8.1,4.2,,,,,,2.5,92,8,NW,20,,,,,,,
,2018-08-8,0.8,9.7,0,,,,,,6.0,63,8,W,20,,,,,,,
,2018-08-9,3.2,12.9,0,,,,,,7.5,72,0,W,7,,,,,,,
,2018-08-10,0.9,,0,2.0,,,,,9.0,58,0,N,6,,,,,,,
,2018-08-11,,15.4,,,,,,,,,,,,,,,,,,
,2018-08-12,0.4,4.6,5.2,8.6,,,,,1.1,91,7,WNW,9,,,,,,,
,2018-08-13,0.9,8.2,0.4,1.2,,,,,4.5,89,8,WSW,11,,,,,,,
,2018-08-14,3.1,13.5,0,0.9,,,,,6.3,80,4,SE,9,,,,,,,
,2018-08-15,3.7,14.4,0,1.4,,,,,8.2,58,0,NW,31,,,,,,,
,2018-08-16,5.8,10.8,0,4.0,,,,,,,1,NW,15,,,,,,,
,2018-08-17,-0.8,,0.2,3.0,,,,,6.6,51,7,SW,7,,,,,,,
,2018-08-18,,,,,,,,,,,,,,,,,,,,
,2018-08-19,,,,,,,,,,,,,,,,,,,,
,2018-08-20,,,4.0,,,,,,,,,,,,,,,,,
,2018-08-21,,,0,,,,,,,,,,,,,,,,,
,2018-08-22,,,0,,,,,,,,,,,,,,,,,
,2018-08-23,,12.5,0,,,,,,,,,,,,,,,,,
,2018-08-24,-1.6,,0,11.0,,,,,8.0,74,0,SE,6,,,,,,,
,2018-08-25,,,,,,,,,,,,,,,,,,,,
,2018-08-26,,14.1,,,,,,,,,,,,,,,,,,
,2018-08-27,3.0,12.2,8.8,3.6,,,,,9.2,65,1,ESE,9,,,,,,,
,2018-08-28,0.5,9.9,0,2.2,,,,,5.3,78,6,NNW,11,,,,,,,
,2018-08-29,-2.5,10.2,0,2.6,,,,,4.0,47,0,W,6,,,,,,,
,2018-08-30,-3.5,15.2,0,2.2,,,,,6.8,29,1,ESE,2,,,,,,,
,2018-08-31,5.5,,0,2.8,,,,,10.2,35,8,NE,19,,,,,,,